"Tm","Rec","Player","Age","Tgt","Yds","TD","Ctch%"
"2TM",24,"Michael Carter",24,"RB",101,1,"77.4%"
"2TM",20,"Van Jefferson",27,"WR",209,0,"46.5%"
"2TM",15,"Mecole Hardman",25,"WR",124,0,"62.5%"
"3TM",5,"Deon Jackson",24,"RB",14,0,"83.3%"
"ARI",81,"Trey McBride",24,"TE",825,3,"76.4%"
"ARI",51,"Marquise Brown",26,"WR",574,4,"50.5%"
"ARI",40,"Rondale Moore",23,"WR",352,1,"64.5%"
"ATL",69,"Drake London",22,"WR",905,2,"62.7%"
"ATL",58,"Bijan Robinson",21,"RB",487,4,"67.4%"
"ATL",53,"Kyle Pitts",23,"TE",667,3,"58.9%"
"BAL",77,"Zay Flowers",23,"WR",858,5,"71.3%"
"BAL",45,"Mark Andrews",28,"TE",544,6,"73.8%"
"BAL",35,"Odell Beckham Jr.",31,"WR",565,3,"54.7%"
"BUF",107,"Stefon Diggs*",30,"WR",1183,8,"66.9%"
"BUF",73,"Dalton Kincaid",24,"TE",673,2,"80.2%"
"BUF",45,"Gabriel Davis",24,"WR",746,7,"55.6%"
"CAR",103,"Adam Thielen",33,"WR",1014,4,"75.2%"
"CAR",43,"Jonathan Mingo",22,"WR",418,0,"50.6%"
"CAR",39,"Chuba Hubbard",24,"RB",233,0,"88.6%"
"CHI",96,"D.J. Moore",26,"WR",1364,8,"70.6%"
"CHI",73,"Cole Kmet",24,"TE",719,6,"81.1%"
"CHI",34,"Roschon Johnson",22,"RB",209,0,"85.0%"
"CIN",100,"Ja'Marr Chase*",23,"WR",1216,7,"69.0%"
"CIN",67,"Tyler Boyd",29,"WR",667,2,"68.4%"
"CIN",52,"Joe Mixon",27,"RB",376,3,"81.3%"
"CLE",81,"David Njoku*",27,"TE",882,6,"65.9%"
"CLE",72,"Amari Cooper*",29,"WR",1250,5,"56.3%"
"CLE",59,"Elijah Moore",23,"WR",640,2,"56.7%"
