"Tm","Rec","Player","Age","Tgt","Yds","TD","Ctch%"
"2TM",75,"Amari Cooper*",24,"WR",1005,7,"70.1%"
"2TM",74,"Golden Tate",30,"WR",795,4,"65.5%"
"2TM",59,"Demaryius Thomas",31,"WR",677,5,"66.3%"
"ARI",69,"Larry Fitzgerald",35,"WR",734,6,"61.6%"
"ARI",50,"David Johnson",27,"RB",446,3,"65.8%"
"ARI",43,"Christian Kirk",22,"WR",590,3,"63.2%"
"ATL",113,"Julio Jones*",29,"WR",1677,8,"66.5%"
"ATL",71,"Austin Hooper*",24,"TE",660,4,"80.7%"
"ATL",66,"Mohamed Sanu",29,"WR",838,4,"70.2%"
"BAL",62,"Willie Snead",26,"WR",651,1,"65.3%"
"BAL",54,"Michael Crabtree",31,"WR",607,3,"54.0%"
"BAL",42,"John Brown",28,"WR",715,5,"43.3%"
"BUF",56,"Zay Jones",23,"WR",652,7,"54.9%"
"BUF",34,"LeSean McCoy",30,"RB",238,0,"73.9%"
"BUF",27,"Robert Foster",24,"WR",541,3,"61.4%"
"CAR",107,"Christian McCaffrey",22,"RB",867,6,"86.3%"
"CAR",55,"D.J. Moore",21,"WR",788,2,"67.1%"
"CAR",44,"Devin Funchess",24,"WR",549,4,"55.7%"
"CHI",71,"Tarik Cohen*+",23,"RB",725,5,"78.0%"
"CHI",67,"Taylor Gabriel",27,"WR",688,2,"72.0%"
"CHI",55,"Allen Robinson",25,"WR",754,4,"58.5%"
"CIN",76,"Tyler Boyd",24,"WR",1028,7,"70.4%"
"CIN",46,"A.J. Green",30,"WR",694,6,"59.7%"
"CIN",43,"Joe Mixon",22,"RB",296,1,"78.2%"
"CLE",81,"Jarvis Landry*",26,"WR",976,4,"54.4%"
"CLE",56,"David Njoku",22,"TE",639,4,"63.6%"
"CLE",47,"Duke Johnson",25,"RB",429,3,"75.8%"
"DAL",77,"Ezekiel Elliott*",23,"RB",567,3,"81.1%"
"DAL",65,"Cole Beasley",29,"WR",672,3,"74.7%"
